assay_description,canonical_smiles,document_journal,document_year,molecule_chembl_id,record_id,target_organism,units,value
Antiparasitic activity against amastigotes of Leishmania donovani MHOM/ET/67/L82 infected in rat L6 cells after 72 hrs by by Alamar blue assay,CC(=O)OC[C@H]1O[C@@H](N2C(=O)/C(=C3/C(=O)Nc4ncccc43)c3ccccc32)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,Bioorg Med Chem Lett,2011.0,CHEMBL454578,1542354,Leishmania donovani,uM,2.65
Antiparasitic activity against amastigotes of Leishmania donovani MHOM/ET/67/L82 infected in rat L6 cells after 72 hrs by by Alamar blue assay,CC(=O)OC[C@H]1O[C@@H](N2C(=O)/C(=C3/C(=O)Nc4ncc(Br)cc43)c3ccccc32)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,Bioorg Med Chem Lett,2011.0,CHEMBL502907,1542355,Leishmania donovani,uM,2.2
Antiparasitic activity against amastigotes of Leishmania donovani MHOM/ET/67/L82 infected in rat L6 cells after 72 hrs by by Alamar blue assay,CC(=O)OC[C@H]1O[C@@H](N2C(=O)/C(=C3/C(=O)Nc4ncccc43)c3cc(Br)ccc32)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,Bioorg Med Chem Lett,2011.0,CHEMBL1910157,1542356,Leishmania donovani,uM,0.84
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1nccn1CCNc1c2ccccc2nc2ccccc12,J Med Chem,2011.0,CHEMBL1922427,1561428,Leishmania donovani,uM,9.09
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1nccn1CCCCNc1nc(-c2ccccc2)nc2ccccc12,J Med Chem,2011.0,CHEMBL1922433,1561434,Leishmania donovani,uM,6.17
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,COc1cc2nc(Cl)nc(NCCCCn3ccnc3[N+](=O)[O-])c2cc1OC.Cl,J Med Chem,2011.0,CHEMBL1922437,1561438,Leishmania donovani,uM,3.63
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,O=C1C(Cl)=C(NCCCn2ccnc2[N+](=O)[O-])C(=O)c2ccccc21,J Med Chem,2011.0,CHEMBL1922439,1561440,Leishmania donovani,uM,0.516
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCNc2nc(-c3ccccc3)nc3ccccc23)n1,J Med Chem,2011.0,CHEMBL1922444,1561445,Leishmania donovani,uM,9.48
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCCNc2nc(-c3ccccc3)nc3ccccc23)n1,J Med Chem,2011.0,CHEMBL1922445,1561446,Leishmania donovani,uM,8.69
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,O=C1C(Cl)=C(NCCCn2cnc([N+](=O)[O-])n2)C(=O)c2ccccc21,J Med Chem,2011.0,CHEMBL1922449,1561450,Leishmania donovani,uM,6.53
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1nccn1CCCN(Cc1ccc(C(F)(F)F)cc1)Cc1ccc(C(F)(F)F)cc1,J Med Chem,2011.0,CHEMBL1922451,1561452,Leishmania donovani,uM,6.49
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1nccn1CCCN(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1,J Med Chem,2011.0,CHEMBL1922452,1561453,Leishmania donovani,uM,4.27
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCN(Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1,J Med Chem,2011.0,CHEMBL1922454,1561455,Leishmania donovani,uM,4.87
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCN(Cc2ccc3ccc(Cl)cc3n2)Cc2ccc3ccc(Cl)cc3n2)n1,J Med Chem,2011.0,CHEMBL1922459,1561460,Leishmania donovani,uM,9.58
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCN(Cc2ccc3cc(Br)ccc3n2)Cc2ccc3cc(Br)ccc3n2)n1,J Med Chem,2011.0,CHEMBL1922460,1561461,Leishmania donovani,uM,9.33
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,Cl.O=[N+]([O-])c1ncn(CCCN(Cc2ccc(C(F)(F)F)cc2)Cc2ccc(C(F)(F)F)cc2)n1,J Med Chem,2011.0,CHEMBL1922462,1561463,Leishmania donovani,uM,0.348
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 amastigotes infected in rat L6 cells after 72 hrs by alamar blue assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,J Med Chem,2011.0,CHEMBL125,1561470,Leishmania donovani,uM,0.44
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Bioorg Med Chem,2011.0,CHEMBL125,1565230,Leishmania donovani,uM,0.445
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL428612,1565234,Leishmania donovani,uM,2.67
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL442471,1565235,Leishmania donovani,uM,3.25
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL403651,1565236,Leishmania donovani,uM,0.8
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL258556,1565237,Leishmania donovani,uM,6.59
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL258555,1565238,Leishmania donovani,uM,1.53
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCCCCCCCCCOc4ccc(-c5nc6ccccc6[nH]5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL1928411,1565436,Leishmania donovani,uM,5.93
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928413,1565438,Leishmania donovani,uM,6.19
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928415,1565440,Leishmania donovani,uM,3.91
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928416,1565441,Leishmania donovani,uM,9.99
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL428119,1565442,Leishmania donovani,uM,1.19
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928417,1565443,Leishmania donovani,uM,2.57
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928418,1565444,Leishmania donovani,uM,2.69
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928419,1565445,Leishmania donovani,uM,5.9
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCCCCCCCCCOc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928420,1565446,Leishmania donovani,uM,6.59
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc(COc2ccc(-c3nc4ccccc4[nH]3)cc2)c(COc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,Bioorg Med Chem,2011.0,CHEMBL1928422,1565448,Leishmania donovani,uM,2.33
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(COc2ccc(-c3nc4ccccc4[nH]3)cc2)cc(COc2ccc(-c3nc4ccccc4[nH]3)cc2)c1,Bioorg Med Chem,2011.0,CHEMBL1928423,1565449,Leishmania donovani,uM,1.05
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1ccc2[nH]c(-c3ccc(OCc4ccc(COc5ccc(-c6nc7ccccc7[nH]6)cc5)cc4)cc3)nc2c1,Bioorg Med Chem,2011.0,CHEMBL1928424,1565450,Leishmania donovani,uM,0.8
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCc2ccccc2COc2cccc(-c3nc4ccccc4[nH]3)c2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928425,1565451,Leishmania donovani,uM,3.0
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(COc2cccc(-c3nc4ccccc4[nH]3)c2)cc(COc2cccc(-c3nc4ccccc4[nH]3)c2)c1,Bioorg Med Chem,2011.0,CHEMBL1928426,1565452,Leishmania donovani,uM,4.63
Antileishmanial activity against Leishmania donovani MHOM-ET-67/L82 after 72 hrs by resazurin-based spectrophotometric assay,c1cc(OCc2ccc(COc3cccc(-c4nc5ccccc5[nH]4)c3)cc2)cc(-c2nc3ccccc3[nH]2)c1,Bioorg Med Chem,2011.0,CHEMBL1928427,1565453,Leishmania donovani,uM,8.44
Antiparasitic activity against amastigotes of Leishmania infantum infected in mouse peritoneal macrophages after 5 days using giemsa staining by microscopic analysis,C[C@]12[C@@H]3N(c4ccccc4)N=C(C(=O)c4ccccc4)N3c3ccccc3N1C(C(=O)c1ccccc1)=NN2c1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1939614,1571513,Leishmania infantum,uM,8.0
Antiprotozoal activity against Leishmania donovani MHOM/ET/67/L82 axenic amastigotes after 72 hrs by alamar blue assay,COC1=CC(=O)O[C@]2(/C=C/c3ccc(C(C)(C)C)cc3)[C@H]1[C@H](c1ccc(C(C)(C)C)cc1)[C@H]2c1cc(OC)cc(=O)o1,Bioorg Med Chem,2012.0,CHEMBL1946891,1576289,Leishmania donovani,uM,4.5
Antiprotozoal activity against Leishmania donovani MHOM/ET/67/L82 axenic amastigotes after 72 hrs by alamar blue assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Bioorg Med Chem,2012.0,CHEMBL125,1576514,Leishmania donovani,uM,0.5
Antiprotozoal activity against Leishmania donovani,CCCCCCCC1CC(O)=C(CCCCCC)C(=O)O1,Bioorg Med Chem,2012.0,CHEMBL463476,1576517,Leishmania donovani,uM,4.8
Non-competitive inhibition of recombinant Leishmania infantum MHOM/MA67ITMAP263 trypanothione reductase assessed as inhibition of NADPH consumption using trypanothione disulfide as substrate at 1 uM by Michaelis-Menten and Lineweaver-Burk plot analysis,O=[N+]([O-])c1ccc(/C=C/c2sc(Nc3ccccc3)n[n+]2-c2ccccc2)cc1.[Cl-],Bioorg Med Chem,2012.0,CHEMBL242165,1574085,Leishmania infantum,uM,1.63
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(CNCCCCCCCCCCNCc2ccccc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950461,1577701,Leishmania donovani,uM,1.75
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCNCc2ccc(OC)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950462,1577702,Leishmania donovani,uM,1.24
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCCNCc2ccc(OC)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL23440,1577703,Leishmania donovani,uM,8.52
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCCCCNCc2ccc(OC)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950463,1577704,Leishmania donovani,uM,6.73
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCCCCCCNCc2ccc(OC)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950464,1577705,Leishmania donovani,uM,1.56
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCCCCCCCCNCc2ccc(OC)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950465,1577706,Leishmania donovani,uM,1.45
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(COc2ccc(CNCCCNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950466,1577707,Leishmania donovani,uM,0.26
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(COc2ccc(CNCCCCNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL280180,1577708,Leishmania donovani,uM,0.031
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(COc2ccc(CNCCCCCCNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950467,1577709,Leishmania donovani,uM,0.24
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(COc2ccc(CNCCCCCCCCNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950468,1577710,Leishmania donovani,uM,1.14
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,c1ccc(COc2ccc(CNCCCCCCCCCCNCc3ccc(OCc4ccccc4)cc3)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950469,1577711,Leishmania donovani,uM,4.6
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1ccc(CNCCCCCCCCCCNCc2ccc(OC)c(O)c2)cc1O,Bioorg Med Chem Lett,2012.0,CHEMBL1950474,1577716,Leishmania donovani,uM,4.5
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1cc(CNCCCNCc2ccc(OCc3ccccc3)c(OC)c2)ccc1OCc1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950475,1577717,Leishmania donovani,uM,0.23
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1cc(CNCCCCNCc2ccc(OCc3ccccc3)c(OC)c2)ccc1OCc1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950476,1577718,Leishmania donovani,uM,0.24
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1cc(CNCCCCCCNCc2ccc(OCc3ccccc3)c(OC)c2)ccc1OCc1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950477,1577719,Leishmania donovani,uM,0.21
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1cc(CNCCCCCCCCNCc2ccc(OCc3ccccc3)c(OC)c2)ccc1OCc1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950478,1577720,Leishmania donovani,uM,0.22
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,COc1cc(CNCCCCCCCCCCNCc2ccc(OCc3ccccc3)c(OC)c2)ccc1OCc1ccccc1,Bioorg Med Chem Lett,2012.0,CHEMBL1950479,1577721,Leishmania donovani,uM,1.2
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,Bioorg Med Chem Lett,2012.0,CHEMBL267345,1577722,Leishmania donovani,uM,0.32
Antileishmanial activity against Leishmania donovani S1 promastigotes after 72 hrs by alamar blue assay,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Bioorg Med Chem Lett,2012.0,CHEMBL55,1577723,Leishmania donovani,uM,6.2
Inhibition of Leishmania major N-myristoyltransferase using [3H]myristoyl-CoA and GCGGSKVKPQPPQAK(biotin)-amide as substrate preincubated for 5 mins prior substrate addition measured after 50 mins by streptavidin-coated scintillation proximity assay,Cc1nn(C)c(C)c1NS(=O)(=O)c1c(Cl)cc(-c2ccnc(N3CCNCC3)c2)cc1Cl,J Med Chem,2012.0,CHEMBL1230468,1578766,Leishmania major,uM,0.002
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 promastigotes after 3 days incubation at 27 degC under dark condition and 5% CO2 atmosphere by MTT assay,Cc1ccc(S(=O)(=O)Oc2c([N+](=O)[O-])c(=O)n(C)c3ccccc23)cc1,Eur J Med Chem,2012.0,CHEMBL2022053,1637220,Leishmania donovani,uM,3.0
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 promastigotes after 3 days incubation at 27 degC under dark condition and 5% CO2 atmosphere by MTT assay,COc1cc(C(=O)Nc2c(O)c3ccccc3n(C)c2=O)cc(OC)c1OC,Eur J Med Chem,2012.0,CHEMBL2022057,1637224,Leishmania donovani,uM,3.5
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 promastigotes after 3 days incubation at 27 degC under dark condition and 5% CO2 atmosphere by MTT assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Eur J Med Chem,2012.0,CHEMBL125,1638005,Leishmania donovani,uM,3.7
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 promastigotes after 3 days incubation at 27 degC under dark condition and 5% CO2 atmosphere by MTT assay,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Eur J Med Chem,2012.0,CHEMBL55,1638006,Leishmania donovani,uM,2.84
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 amastigotes after 3 days incubation at 37 degC under dark condition and 5% CO2 atmosphere by SYBR green I dye based assay,Cc1ccc(S(=O)(=O)Oc2c([N+](=O)[O-])c(=O)n(C)c3ccccc23)cc1,Eur J Med Chem,2012.0,CHEMBL2022053,1637220,Leishmania donovani,uM,2.0
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 amastigotes after 3 days incubation at 37 degC under dark condition and 5% CO2 atmosphere by SYBR green I dye based assay,CCCC(=O)Nc1c(O)c2ccccc2n(C)c1=O,Eur J Med Chem,2012.0,CHEMBL2022309,1637537,Leishmania donovani,uM,3.0
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 amastigotes after 3 days incubation at 37 degC under dark condition and 5% CO2 atmosphere by SYBR green I dye based assay,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,Eur J Med Chem,2012.0,CHEMBL125,1638005,Leishmania donovani,uM,5.0
Antikinetoplastid activity against Leishmania donovani MHOM/ET/67/HU3 amastigotes after 3 days incubation at 37 degC under dark condition and 5% CO2 atmosphere by SYBR green I dye based assay,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,Eur J Med Chem,2012.0,CHEMBL55,1638006,Leishmania donovani,uM,6.6
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCN(CC)CCn1c(=N)n(CC(O)c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,,,CHEMBL537087,1640597,Leishmania infantum,uM,1.0
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCOc1ccc(Nc2c3ccccc3nc3ccccc23)cc1.Cl,,,CHEMBL601041,1640598,Leishmania infantum,uM,1.587401032447815
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,Cc1ccc2nc(C)cc(Nc3cccc(C(F)(F)F)c3)c2c1.Cl,,,CHEMBL589723,1640599,Leishmania infantum,uM,3.0639326572418213
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21.Cl,,,CHEMBL602234,1640604,Leishmania infantum,uM,3.408721446990967
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCCCCCn1c(=N)n(CC(O)COc2cccc(C)c2)c2ccccc21.Cl,,,CHEMBL590933,1640605,Leishmania infantum,uM,2.5399985313415527
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CN(C)CCCNc1c2ccccc2nc2ccccc12,,,CHEMBL124006,1640606,Leishmania infantum,uM,1.0142463445663452
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,COc1ccc(C2Sc3ccccc3N=C3C2=C(O)c2ccccc23)cc1,,,CHEMBL601580,1640612,Leishmania infantum,uM,4.756828308105469
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1.Cl,,,CHEMBL590674,1640613,Leishmania infantum,uM,4.320239067077637
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,COc1ccc(-c2cc(=O)oc3c4c(ccc23)OCN(Cc2ccc(F)cc2)C4)cc1,,,CHEMBL591623,1640614,Leishmania infantum,uM,5.38360071182251
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,COc1ccc(C(O)(CCC(C)C)C(CN2CCOCC2)c2ccc(Cl)cc2)cc1.Cl,,,CHEMBL590914,1640615,Leishmania infantum,uM,4.756828308105469
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCCCCCC(O)(c1ccc(F)cc1)C(CN1CCOCC1)c1ccccc1.Cl,,,CHEMBL601743,1640596,Leishmania infantum,uM,4.320239067077637
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CC1CCCCN1CCCNC(=O)c1ccc2c(c1)sc1nc(-c3ccc(F)cc3)cn12,,,CHEMBL602946,1640617,Leishmania infantum,uM,1.0800597667694092
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,Cc1ccnc(NC(c2cccc(OCc3ccccc3)c2)c2ccc3cccnc3c2O)c1,,,CHEMBL547266,1640624,Leishmania infantum,uM,4.056985378265381
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,Oc1ccc(-c2nc(-c3ccc4oc5ccc(-c6[nH]c(-c7ccc(O)cc7)nc6-c6ccccc6)cc5c4c3)c(-c3ccccc3)[nH]2)cc1,,,CHEMBL532141,1640625,Leishmania infantum,uM,4.0
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CCCOCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,,,CHEMBL592123,1640627,Leishmania infantum,uM,1.587401032447815
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,CC(C)OCc1cc(CN2CCN(c3cccc(Cl)c3)CC2)c(O)c2ncccc12,,,CHEMBL591183,1640628,Leishmania infantum,uM,1.1892070770263672
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,Cl.OC(CNCc1ccccc1)Cn1c2ccccc2c2ccccc21,,,CHEMBL600374,1640629,Leishmania infantum,uM,4.0
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,OC(CNC1CCCC1)Cn1c2ccccc2c2ccccc21,,,CHEMBL590212,1640630,Leishmania infantum,uM,5.38360071182251
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,COc1ccc(Nc2nc(NCc3ccccc3)c3ccccc3n2)cc1,,,CHEMBL598279,1640633,Leishmania infantum,uM,1.0070260763168335
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,,,CHEMBL602413,1640636,Leishmania infantum,uM,2.5198421478271484
MMV: Inhibition of Leishmania infantum (MHOM/MA/BE/67) in vitro.,OCCNc1nc(Nc2ccc(Cl)c(Cl)c2)nc2ccccc12,,,CHEMBL581860,1640637,Leishmania infantum,uM,3.0068132877349854
